Nr Lochy;Rasa;Aktualny miot;Aktualna liczba potomstwa lochy oceniona przyżyciowo;Aktualny Blup ZWH;Miot dla max ZWH;Liczba potomstwa lochy ocenianych przyżyciowo dla MAX ZWH;Max ZWH;Blup przyr. dz. dla max liczby potom.;Blup % mięsa dla max liczby potom.;Blup dla liczby prosiąt urodzonych;Blup dla liczby prosiąt odchowanych;Max liczba potomstwa;ZWH dla max liczby potom.
18889075716;40;13;3;9.0178;5;2;9.0564;0.25;-0.37;-1.9;-1.86;6;8.8776
26623006320;40;4;2;8.7158;3;2;8.8926;0.12;1.13;-1.25;-2.6;2;8.8926
6520015020;40;5;5;9.3792;5;5;9.41;-0.88;2.17;-1.79;-2.19;7;8.894
18965000921;40;4;2;8.8772;4;2;8.9062;-0.19;0.57;-1.64;-2.01;2;8.9062
6520040821;40;2;2;8.8708;2;2;8.9354;0.5;-1.58;-1.7;-1.49;2;8.9354
2523002116;40;9;9;8.915;9;9;8.942;-0.65;-0.65;-1.26;-1.36;9;8.942
18479017118;40;7;4;9.0186;7;4;9.041;-1.39;2.53;-1.01;-2.02;4;9.041
6520142621;40;2;3;8.9774;1;1;9.7762;0.57;-0.5;-1.88;-1.59;3;9.0506
6527039821;40;2;3;8.7786;1;2;9.258;0.28;-0.35;-1.84;-1.39;3;9.0962
6524024120;40;3;1;9.0988;3;1;9.0988;-0.06;0.03;-0.87;-1.75;1;9.0988
18958001820;40;5;2;9.0764;4;3;9.4726;-0.47;0.78;-1.23;-1.64;5;9.1018
18965000721;40;4;3;9.0996;4;3;9.1098;-0.26;0.23;-1.91;-1.24;3;9.1098
18951006519;40;7;5;9.058;5;5;9.1536;-0.03;-0.01;-1.9;-1.18;5;9.1536
6520007218;40;9;5;9.1716;2;9;9.529;-0.21;0.88;-1.25;-1.66;11;9.1682
18953065218;40;7;3;9.127;5;2;9.6248;-0.54;-1.83;-0.52;-0.75;3;9.169
2518003520;40;4;6;9.1518;3;5;9.2182;-0.21;0.36;-1.62;-1.3;6;9.1696
18954025120;40;5;3;9.1542;5;3;9.1736;-1.63;-0.23;-0.58;-0.7;3;9.1736
6520040721;40;2;1;9.113;2;1;9.1776;0.11;-0.64;-0.67;-1.49;1;9.1776
6517039019;40;6;6;9.1584;6;6;9.2266;-0.46;-0.51;-1.06;-0.93;6;9.2266
18891012917;40;12;3;9.2412;9;2;9.322;-0.07;-0.88;-1.17;-0.93;3;9.2412
2518047320;40;3;10;9.2566;1;2;9.9028;0.48;-1.7;-1.51;-0.74;10;9.2606
18954031017;40;11;5;9.2764;11;5;9.2764;-1.02;0.69;-1.15;-0.91;5;9.2764
8370013721;40;2;9;9.1314;2;9;9.2774;-0.18;-0.08;-1.02;-1.15;9;9.2774
18965000521;40;4;1;9.2728;4;1;9.2804;-1.08;-0.41;-0.56;-0.7;1;9.2804
18901035819;40;5;2;9.282;5;2;9.2828;0.12;-0.62;-1.19;-1.03;2;9.2828
4238026121;40;2;1;9.262;2;1;9.2894;-0.69;-1.19;-0.64;-0.57;1;9.2894
6519012021;40;2;1;9.2784;2;1;9.298;-1.2;-1.08;-0.92;-0.18;1;9.298
18891010919;40;7;1;9.589;7;1;9.589;-0.32;-0.05;-0.67;-1.17;3;9.3032
18460015215;40;13;6;9.0528;12;6;9.3076;1.56;-1.38;-1.41;-1.41;6;9.3076
2518009720;40;4;1;9.9002;4;1;9.9334;-0.13;0.78;-1.63;-1.11;6;9.334
18891035219;40;6;2;9.2064;4;2;9.3394;0.05;-0.72;-0.6;-1.07;2;9.3394
6520039120;40;5;5;9.431;2;6;9.4694;-0.26;1.19;-0.91;-1.48;11;9.3426
6517018316;40;9;2;9.3152;9;2;9.3554;0.3;-1.07;-0.65;-1.02;2;9.3554
6517019016;40;10;5;8.971;7;5;9.3618;0.43;0.65;-1.71;-1.28;5;9.3618
